,precision,recall,f1-score,support
0,0.5,0.5,0.5,8.0
1,0.9230769230769231,0.9230769230769231,0.9230769230769231,13.0
2,1.0,0.9166666666666666,0.9565217391304348,12.0
3,1.0,1.0,1.0,14.0
4,0.8666666666666667,0.9285714285714286,0.896551724137931,14.0
5,0.8571428571428571,0.8571428571428571,0.8571428571428571,14.0
6,0.9,0.8181818181818182,0.8571428571428572,11.0
7,1.0,1.0,1.0,13.0
8,1.0,0.9230769230769231,0.9600000000000001,13.0
9,1.0,1.0,1.0,14.0
a,0.8333333333333334,1.0,0.9090909090909091,5.0
b,1.0,1.0,1.0,13.0
c,0.8571428571428571,0.6666666666666666,0.75,9.0
d,1.0,1.0,1.0,14.0
e,1.0,1.0,1.0,6.0
f,1.0,1.0,1.0,14.0
g,1.0,0.9166666666666666,0.9565217391304348,12.0
h,1.0,1.0,1.0,11.0
i,0.9230769230769231,1.0,0.9600000000000001,12.0
j,1.0,0.8,0.888888888888889,5.0
k,1.0,1.0,1.0,14.0
l,0.9285714285714286,0.9285714285714286,0.9285714285714286,14.0
m,0.5,0.6666666666666666,0.5714285714285715,3.0
n,1.0,0.75,0.8571428571428571,4.0
o,0.5555555555555556,0.8333333333333334,0.6666666666666667,6.0
p,1.0,0.9090909090909091,0.9523809523809523,11.0
q,0.8,1.0,0.888888888888889,4.0
r,1.0,1.0,1.0,11.0
s,1.0,1.0,1.0,3.0
t,1.0,0.5,0.6666666666666666,2.0
u,1.0,1.0,1.0,13.0
v,0.9285714285714286,1.0,0.962962962962963,13.0
w,0.8571428571428571,1.0,0.923076923076923,12.0
x,1.0,1.0,1.0,10.0
y,1.0,0.8888888888888888,0.9411764705882353,9.0
z,1.0,1.0,1.0,12.0
accuracy,0.9347826086956522,0.9347826086956522,0.9347826086956522,0.9347826086956522
macro avg,0.9230633563966898,0.9090722549055883,0.9103861118365385,368.0
weighted avg,0.9412545787545786,0.9347826086956522,0.9354638115059896,368.0
