,precision,recall,f1-score,support
call,1.0,0.9444444444444444,0.9714285714285714,18.0
dislike,0.5454545454545454,0.7058823529411765,0.6153846153846153,17.0
fist,0.875,0.7777777777777778,0.823529411764706,18.0
four,0.8888888888888888,0.8421052631578947,0.8648648648648649,19.0
grabbing,0.6363636363636364,0.3684210526315789,0.4666666666666667,19.0
grip,0.6666666666666666,0.7368421052631579,0.7,19.0
hand_heart,0.9473684210526315,0.9,0.9230769230769231,20.0
hand_heart2,0.5384615384615384,0.7,0.608695652173913,20.0
holy,0.4782608695652174,0.6111111111111112,0.5365853658536586,18.0
like,0.7894736842105263,0.8333333333333334,0.8108108108108109,18.0
little_finger,1.0,1.0,1.0,20.0
middle_finger,1.0,0.8421052631578947,0.9142857142857143,19.0
mute,0.6818181818181818,0.8333333333333334,0.7499999999999999,18.0
no_gesture,0.2777777777777778,0.25,0.2631578947368421,20.0
ok,0.8947368421052632,0.8947368421052632,0.8947368421052632,19.0
one,0.625,0.5263157894736842,0.5714285714285714,19.0
palm,0.6666666666666666,0.8421052631578947,0.744186046511628,19.0
peace,0.7647058823529411,0.7222222222222222,0.7428571428571428,18.0
peace_inverted,0.6875,0.55,0.6111111111111112,20.0
point,0.7692307692307693,0.5555555555555556,0.6451612903225806,18.0
rock,0.9444444444444444,0.85,0.8947368421052632,20.0
stop,0.5294117647058824,0.5,0.5142857142857143,18.0
stop_inverted,0.6086956521739131,0.7368421052631579,0.6666666666666666,19.0
take_picture,0.65,0.65,0.65,20.0
three,0.8888888888888888,0.8888888888888888,0.8888888888888888,18.0
three2,0.7307692307692307,0.95,0.8260869565217392,20.0
three3,1.0,0.9,0.9473684210526316,20.0
three_gun,0.9473684210526315,0.9,0.9230769230769231,20.0
thumb_index,0.7058823529411765,0.631578947368421,0.6666666666666667,19.0
thumb_index2,0.65,0.65,0.65,20.0
timeout,0.3888888888888889,0.3888888888888889,0.3888888888888889,18.0
two_up,0.8421052631578947,0.8421052631578947,0.8421052631578947,19.0
two_up_inverted,0.8125,0.7222222222222222,0.7647058823529411,18.0
xsign,0.7727272727272727,0.8947368421052632,0.8292682926829269,19.0
accuracy,0.734472049689441,0.734472049689441,0.734472049689441,0.734472049689441
macro avg,0.7413251926578082,0.7335751431635604,0.732668026521492,644.0
weighted avg,0.7425476339595215,0.734472049689441,0.7337468084759566,644.0
