,precision,recall,f1-score,support
0,1.0,0.5,0.6666666666666666,8.0
1,1.0,0.9230769230769231,0.9600000000000001,13.0
2,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0
3,1.0,1.0,1.0,14.0
4,1.0,1.0,1.0,14.0
5,1.0,1.0,1.0,14.0
6,1.0,1.0,1.0,11.0
7,1.0,1.0,1.0,13.0
8,1.0,0.9230769230769231,0.9600000000000001,13.0
9,0.9333333333333333,1.0,0.9655172413793104,14.0
a,0.8333333333333334,1.0,0.9090909090909091,5.0
b,1.0,1.0,1.0,13.0
c,0.75,1.0,0.8571428571428571,9.0
d,0.9333333333333333,1.0,0.9655172413793104,14.0
e,1.0,1.0,1.0,6.0
f,1.0,0.9285714285714286,0.962962962962963,14.0
g,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0
h,1.0,1.0,1.0,11.0
i,1.0,1.0,1.0,12.0
j,0.8333333333333334,1.0,0.9090909090909091,5.0
k,1.0,1.0,1.0,14.0
l,1.0,1.0,1.0,14.0
m,1.0,1.0,1.0,3.0
n,1.0,0.5,0.6666666666666666,4.0
o,0.7142857142857143,0.8333333333333334,0.7692307692307692,6.0
p,1.0,0.9090909090909091,0.9523809523809523,11.0
q,0.8,1.0,0.888888888888889,4.0
r,0.9090909090909091,0.9090909090909091,0.9090909090909091,11.0
s,1.0,1.0,1.0,3.0
t,1.0,1.0,1.0,2.0
u,0.8666666666666667,1.0,0.9285714285714286,13.0
v,0.9230769230769231,0.9230769230769231,0.9230769230769231,13.0
w,1.0,1.0,1.0,12.0
x,1.0,1.0,1.0,10.0
y,1.0,1.0,1.0,9.0
z,1.0,1.0,1.0,12.0
accuracy,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348
macro avg,0.9533947533947534,0.9472032597032598,0.9438924224910399,368.0
weighted avg,0.961625376435159,0.9565217391304348,0.9549850567188909,368.0
