,precision,recall,f1-score,support
0,0.5714285714285714,0.5,0.5333333333333333,8.0
1,1.0,0.8461538461538461,0.9166666666666666,13.0
2,1.0,0.8333333333333334,0.9090909090909091,12.0
3,1.0,0.9285714285714286,0.962962962962963,14.0
4,0.9333333333333333,1.0,0.9655172413793104,14.0
5,1.0,0.9285714285714286,0.962962962962963,14.0
6,0.75,0.8181818181818182,0.7826086956521738,11.0
7,1.0,1.0,1.0,13.0
8,1.0,0.9230769230769231,0.9600000000000001,13.0
9,1.0,1.0,1.0,14.0
a,1.0,1.0,1.0,5.0
b,1.0,1.0,1.0,13.0
c,0.75,0.6666666666666666,0.7058823529411765,9.0
d,1.0,1.0,1.0,14.0
e,1.0,1.0,1.0,6.0
f,1.0,1.0,1.0,14.0
g,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0
h,1.0,1.0,1.0,11.0
i,1.0,1.0,1.0,12.0
j,1.0,0.8,0.888888888888889,5.0
k,0.9333333333333333,1.0,0.9655172413793104,14.0
l,1.0,1.0,1.0,14.0
m,0.4,0.6666666666666666,0.5,3.0
n,1.0,0.5,0.6666666666666666,4.0
o,0.4444444444444444,0.6666666666666666,0.5333333333333333,6.0
p,1.0,0.9090909090909091,0.9523809523809523,11.0
q,1.0,1.0,1.0,4.0
r,1.0,0.9090909090909091,0.9523809523809523,11.0
s,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
t,0.6666666666666666,1.0,0.8,2.0
u,0.9285714285714286,1.0,0.962962962962963,13.0
v,0.8666666666666667,1.0,0.9285714285714286,13.0
w,0.75,0.75,0.75,12.0
x,1.0,1.0,1.0,10.0
y,1.0,1.0,1.0,9.0
z,0.8571428571428571,1.0,0.923076923076923,12.0
accuracy,0.9211956521739131,0.9211956521739131,0.9211956521739131,0.9211956521739131
macro avg,0.9009700176366842,0.8952612202612202,0.8918371613323401,368.0
weighted avg,0.9307841614906832,0.9211956521739131,0.9227224701712354,368.0
