class,feature,coefficient,abs_coefficient
0,x12,2.3053782341152838,2.3053782341152838
0,x16,2.2748612980351997,2.2748612980351997
0,y4,-1.82779350558549,1.82779350558549
0,y16,-1.7797945209754604,1.7797945209754604
0,z17,-1.6263760443938733,1.6263760443938733
0,y5,1.5493864461210034,1.5493864461210034
0,z12,-1.4795355996760873,1.4795355996760873
0,z13,-1.4509704808762878,1.4509704808762878
0,y19,1.368412380127074,1.368412380127074
0,x18,1.3616362153361068,1.3616362153361068
1,z4,-2.1221321432480553,2.1221321432480553
1,y4,-1.7822365485830218,1.7822365485830218
1,z3,-1.4940508541944106,1.4940508541944106
1,y11,1.301211940834895,1.301211940834895
1,y12,1.297836818367165,1.297836818367165
1,y9,0.9925312680098352,0.9925312680098352
1,y8,-0.979790035335945,0.979790035335945
1,y10,0.9407463462235564,0.9407463462235564
1,y5,0.8551924895357181,0.8551924895357181
1,y7,-0.8242327331852348,0.8242327331852348
2,x8,3.084031394461557,3.084031394461557
2,x4,-3.0477717741266717,3.0477717741266717
2,x11,-2.9056805942043917,2.9056805942043917
2,x12,-2.787734027058527,2.787734027058527
2,x7,2.732849383829275,2.732849383829275
2,y0,2.5448959585377353,2.5448959585377353
2,x3,-2.3668646281038317,2.3668646281038317
2,x20,2.222726112049154,2.222726112049154
2,y2,2.143329065147459,2.143329065147459
2,x10,-2.1346538119418086,2.1346538119418086
3,x4,1.28987102574561,1.28987102574561
3,x12,-1.2895543019458515,1.2895543019458515
3,x11,-1.230505075084495,1.230505075084495
3,x10,-1.0146336172288961,1.0146336172288961
3,x3,0.9225317495286133,0.9225317495286133
3,x14,-0.8308356860223716,0.8308356860223716
3,x13,-0.7592951858600587,0.7592951858600587
3,y16,0.7525613125934991,0.7525613125934991
3,y15,0.7521947917197768,0.7521947917197768
3,z0,0.747969174687132,0.747969174687132
4,x20,-3.615467593738502,3.615467593738502
4,x19,-2.4544469797308177,2.4544469797308177
4,x16,-2.4125194537479926,2.4125194537479926
4,x4,-2.294569569998562,2.294569569998562
4,x0,2.183543091540243,2.183543091540243
4,y3,2.0893675878189857,2.0893675878189857
4,z0,2.048920056319646,2.048920056319646
4,y1,1.608826780757485,1.608826780757485
4,y2,1.5939490867721942,1.5939490867721942
4,y11,-1.5909237373827447,1.5909237373827447
5,x4,3.3776957948652195,3.3776957948652195
5,x0,-1.9339624157749284,1.9339624157749284
5,x6,1.6880908952147882,1.6880908952147882
5,x5,1.6341781464878955,1.6341781464878955
5,y3,-1.4145472187779258,1.4145472187779258
5,y4,1.3278622435389826,1.3278622435389826
5,y2,-1.302199977832247,1.302199977832247
5,y9,1.2323708297540412,1.2323708297540412
5,y20,-1.223680052004607,1.223680052004607
5,y8,-1.1546778840334675,1.1546778840334675
6,x4,-2.529903128571811,2.529903128571811
6,y16,-2.2731272246058363,2.2731272246058363
6,x3,-1.8655667361977386,1.8655667361977386
6,z10,1.7108695543258354,1.7108695543258354
6,z0,1.589184443070245,1.589184443070245
6,x14,-1.4970722256169973,1.4970722256169973
6,y4,1.4202123695804978,1.4202123695804978
6,z16,-1.4191631233732567,1.4191631233732567
6,z20,1.3528576701631814,1.3528576701631814
6,x19,1.278467327726037,1.278467327726037
7,y16,1.871341077072578,1.871341077072578
7,x20,-1.7907942166445345,1.7907942166445345
7,y20,-1.7792848273893915,1.7792848273893915
7,x19,-1.3314410744089762,1.3314410744089762
7,y15,1.2044015345462113,1.2044015345462113
7,x7,1.201586211103918,1.201586211103918
7,x16,1.1997088066773225,1.1997088066773225
7,x6,1.1674116272587378,1.1674116272587378
7,x8,1.1535667709661535,1.1535667709661535
7,y19,-1.1260468052716501,1.1260468052716501
8,y16,-1.8080833596843424,1.8080833596843424
8,y12,1.6369724824920477,1.6369724824920477
8,z0,1.566041007303164,1.566041007303164
8,x17,1.3222023170809811,1.3222023170809811
8,x0,1.2877166519048673,1.2877166519048673
8,y20,-1.2516222761708866,1.2516222761708866
8,x14,1.0860160221376816,1.0860160221376816
8,y15,-1.0766097226920661,1.0766097226920661
8,y11,1.042973653716114,1.042973653716114
8,x18,0.8991800980342427,0.8991800980342427
9,y8,1.5862391715173128,1.5862391715173128
9,x2,1.3583477058337265,1.3583477058337265
9,y7,1.2956525426766554,1.2956525426766554
9,x3,1.0556632099630514,1.0556632099630514
9,x20,-0.9096470690632837,0.9096470690632837
9,x19,-0.7828366762324239,0.7828366762324239
9,x1,0.7441547237556965,0.7441547237556965
9,x16,-0.7259771757781251,0.7259771757781251
9,z8,-0.7035351857280452,0.7035351857280452
9,x10,0.6833205366866494,0.6833205366866494
a,y4,-1.995088706603821,1.995088706603821
a,y7,1.5987710180818497,1.5987710180818497
a,y20,1.439330896043738,1.439330896043738
a,z0,-1.186603838251926,1.186603838251926
a,y14,-0.9845754173356505,0.9845754173356505
a,y8,0.9526162339406804,0.9526162339406804
a,y18,-0.8883747621151348,0.8883747621151348
a,y17,-0.7831200036825265,0.7831200036825265
a,z15,0.7340923801598475,0.7340923801598475
a,y5,0.7284131103059327,0.7284131103059327
b,y20,-2.0739814062357844,2.0739814062357844
b,x8,-1.5743870821140311,1.5743870821140311
b,y16,-1.4791864222009905,1.4791864222009905
b,x7,-1.371671462349103,1.371671462349103
b,y19,-1.3134684849943004,1.3134684849943004
b,y8,-1.2631272948499188,1.2631272948499188
b,x4,-1.0356671674681213,1.0356671674681213
b,y12,-0.9861197342060244,0.9861197342060244
b,y15,-0.9204587695193653,0.9204587695193653
b,x3,-0.878258803566434,0.878258803566434
c,x4,3.0338291864443,3.0338291864443
c,y20,-2.4466966720303027,2.4466966720303027
c,y16,-2.1530761496885975,2.1530761496885975
c,y8,-1.9524813841591468,1.9524813841591468
c,z0,1.926718755579688,1.926718755579688
c,x0,-1.866026063726019,1.866026063726019
c,y7,-1.7265962495871208,1.7265962495871208
c,y5,-1.652805082701521,1.652805082701521
c,y4,1.4996213955190933,1.4996213955190933
c,y12,-1.4891983644815778,1.4891983644815778
d,y4,2.343570486488257,2.343570486488257
d,y12,1.8856556624790635,1.8856556624790635
d,y3,1.3743648367006769,1.3743648367006769
d,y16,1.0046311620552355,1.0046311620552355
d,y2,0.9520835878566848,0.9520835878566848
d,z0,-0.9455145784562434,0.9455145784562434
d,y10,-0.9028914957249379,0.9028914957249379
d,z18,0.8531247495820765,0.8531247495820765
d,z14,0.8409911984700901,0.8409911984700901
d,y18,-0.8073214138241263,0.8073214138241263
e,y10,-1.1850714699096414,1.1850714699096414
e,y6,-1.116230184806021,1.116230184806021
e,y4,1.1091434815467074,1.1091434815467074
e,y14,-0.9895451516576648,0.9895451516576648
e,y13,-0.7415222302746166,0.7415222302746166
e,y9,-0.737848812231837,0.737848812231837
e,y18,-0.6453686559450427,0.6453686559450427
e,y15,-0.6355948057363948,0.6355948057363948
e,x0,-0.6315279830772502,0.6315279830772502
e,y8,0.6011170284959366,0.6011170284959366
f,y8,1.3529509882714856,1.3529509882714856
f,x1,-1.0629134516568226,1.0629134516568226
f,y7,1.0313734395954113,1.0313734395954113
f,x0,-0.944579034320353,0.944579034320353
f,y16,-0.8862005353226923,0.8862005353226923
f,y20,-0.7947813972565615,0.7947813972565615
f,x12,-0.7695700167855508,0.7695700167855508
f,x11,-0.6992033225948859,0.6992033225948859
f,x2,-0.6924803688734552,0.6924803688734552
f,x20,0.6854344820338216,0.6854344820338216
g,x12,1.3851934516806514,1.3851934516806514
g,x8,-1.222440996998477,1.222440996998477
g,y17,1.1822807200696952,1.1822807200696952
g,x7,-1.149165680358198,1.149165680358198
g,x1,1.1308602528195129,1.1308602528195129
g,y13,1.1103513022711813,1.1103513022711813
g,y4,-1.088954076634083,1.088954076634083
g,x11,1.02085191241968,1.02085191241968
g,y3,-0.995828422615462,0.995828422615462
g,x0,0.9431145464109647,0.9431145464109647
h,x12,-1.0233949172758183,1.0233949172758183
h,x11,-0.8844996818824483,0.8844996818824483
h,x0,0.659857862235826,0.659857862235826
h,x10,-0.5707652807640928,0.5707652807640928
h,x17,0.569710144501316,0.569710144501316
h,y2,-0.5567708032220955,0.5567708032220955
h,x1,0.5075221748664199,0.5075221748664199
h,x8,-0.5036377848820596,0.5036377848820596
h,x7,-0.47452131370998796,0.47452131370998796
h,y18,0.4722054382259674,0.4722054382259674
i,y20,-1.663222883747402,1.663222883747402
i,y19,-1.2284400343940358,1.2284400343940358
i,y8,1.2219566477986943,1.2219566477986943
i,x4,-1.2147670302883253,1.2147670302883253
i,y7,0.9741849189184616,0.9741849189184616
i,y16,0.8494543336891358,0.8494543336891358
i,y12,0.6937421952921586,0.6937421952921586
i,y18,-0.6542657091665821,0.6542657091665821
i,x2,0.6539604090650473,0.6539604090650473
i,z0,-0.6402853241908653,0.6402853241908653
j,y2,-1.171316277750319,1.171316277750319
j,x20,-1.160739637347843,1.160739637347843
j,y1,-1.071998556873657,1.071998556873657
j,x19,-0.9175442231295996,0.9175442231295996
j,y3,-0.8790618908993406,0.8790618908993406
j,y0,-0.7737158447087413,0.7737158447087413
j,x0,0.7078415776560645,0.7078415776560645
j,y5,-0.633240778788793,0.633240778788793
j,x1,0.6235300928071433,0.6235300928071433
j,x10,-0.5602009728038173,0.5602009728038173
k,y4,-3.1423187080865755,3.1423187080865755
k,x12,-1.5754574536107093,1.5754574536107093
k,x11,-1.1758485632600908,1.1758485632600908
k,x4,1.0132274158541748,1.0132274158541748
k,x6,0.9267132883791902,0.9267132883791902
k,y5,0.7937002971466638,0.7937002971466638
k,y9,0.7780285335597646,0.7780285335597646
k,x7,0.7692765887656381,0.7692765887656381
k,z13,0.7671852414887876,0.7671852414887876
k,y16,0.76575912341139,0.76575912341139
l,z0,-1.1449879147590336,1.1449879147590336
l,x4,1.0911693036973198,1.0911693036973198
l,y12,0.9647859825814893,0.9647859825814893
l,y11,0.9245786047733646,0.9245786047733646
l,x11,-0.8099039981658446,0.8099039981658446
l,x5,-0.7962472583249283,0.7962472583249283
l,y0,0.7635596730717525,0.7635596730717525
l,x2,-0.7319624035815617,0.7319624035815617
l,x6,-0.7277847964273577,0.7277847964273577
l,x12,-0.7031080559532323,0.7031080559532323
m,y8,1.0095450942960962,1.0095450942960962
m,x18,0.9371689166910294,0.9371689166910294
m,z20,-0.9295827973029417,0.9295827973029417
